pedido_id,producto_id,cantidad,precio_unitario,total_producto
1,209,1,1354.11,1354.11
1,208,1,4694.22,4694.22
2,303,1,1518.77,1518.77
2,306,1,4809.36,4809.36
3,2004,1,1537.11,1537.11
3,2010,1,4107.47,4107.47
3,2005,1,2228.54,2228.54
4,1401,1,3425.8,3425.8
5,2002,1,3598.42,3598.42
5,2007,1,2641.9,2641.9
6,1710,1,3115.43,3115.43
6,1709,1,3319.66,3319.66
7,1108,1,4021.08,4021.08
8,1803,1,3326.89,3326.89
9,1310,1,3335.35,3335.35
9,1305,1,3970.1,3970.1
10,1604,1,1647.86,1647.86
11,1004,1,3790.9,3790.9
12,708,1,1070.28,1070.28
13,706,1,4247.5,4247.5
13,707,1,3059.99,3059.99
13,709,1,3979.05,3979.05
14,306,1,4809.36,4809.36
15,409,1,2480.97,2480.97
16,501,1,3043.32,3043.32
16,503,1,4197.81,4197.81
17,1910,1,1459.75,1459.75
18,1808,1,4007.55,4007.55
19,1809,1,3170.41,3170.41
20,1806,1,3848.03,3848.03
21,604,1,4326.67,4326.67
22,1406,1,1232.1,1232.1
23,1306,1,962.64,962.64
24,1906,1,4589.11,4589.11
24,1908,1,3892.84,3892.84
25,905,1,4741.11,4741.11
25,906,1,2011.01,2011.01
25,908,1,1076.95,1076.95
26,709,1,3979.05,3979.05
27,1204,1,3687.04,3687.04
27,1210,1,3383.16,3383.16
28,910,1,1234.63,1234.63
28,909,1,1364.03,1364.03
28,906,1,2011.01,2011.01
29,504,1,2958.12,2958.12
30,1905,1,1960.29,1960.29
31,1201,1,2350.76,2350.76
31,1210,1,3383.16,3383.16
32,408,1,3344.81,3344.81
32,407,1,3410.16,3410.16
33,1505,1,4545.86,4545.86
33,1504,1,4027.86,4027.86
33,1508,1,4562.2,4562.2
34,1810,1,4556.66,4556.66
35,908,1,1076.95,1076.95
35,907,1,3063.05,3063.05
36,104,1,3698.16,3698.16
37,804,1,1695.63,1695.63
37,802,1,3532.64,3532.64
37,810,1,1639.62,1639.62
38,1707,1,1956.42,1956.42
38,1702,1,2615.56,2615.56
39,1505,1,4545.86,4545.86
39,1508,1,4562.2,4562.2
39,1506,1,1130.52,1130.52
40,1101,1,3716.09,3716.09
40,1104,1,3429.75,3429.75
41,1205,1,2930.25,2930.25
41,1201,1,2350.76,2350.76
41,1206,1,4984.67,4984.67
42,1807,1,1574.08,1574.08
42,1809,1,3170.41,3170.41
43,1407,1,1181.01,1181.01
43,1406,1,1232.1,1232.1
43,1402,1,2426.96,2426.96
44,305,1,2879.27,2879.27
45,209,1,1354.11,1354.11
45,202,1,4921.05,4921.05
46,308,1,3191.58,3191.58
46,305,1,2879.27,2879.27
47,1002,1,3587.52,3587.52
47,1004,1,3790.9,3790.9
48,310,1,3120.17,3120.17
49,102,1,2803.33,2803.33
49,103,1,2740.58,2740.58
50,1504,1,4027.86,4027.86
50,1503,1,1772.07,1772.07
51,1308,1,1288.96,1288.96
52,906,1,2011.01,2011.01
52,910,1,1234.63,1234.63
52,902,1,3127.27,3127.27
53,1207,1,3902.84,3902.84
54,1608,1,4395.55,4395.55
55,602,1,2419.05,2419.05
56,1208,1,1352.46,1352.46
56,1204,1,3687.04,3687.04
57,102,1,2803.33,2803.33
58,1307,1,3964.57,3964.57
58,1302,1,3366.99,3366.99
58,1310,1,3335.35,3335.35
59,1904,1,3971.86,3971.86
59,1902,1,3262.94,3262.94
60,1503,1,1772.07,1772.07
60,1504,1,4027.86,4027.86
61,1508,1,4562.2,4562.2
61,1501,1,3835.32,3835.32
61,1504,1,4027.86,4027.86
62,2004,1,1537.11,1537.11
62,2001,1,2948.54,2948.54
63,807,1,3018.18,3018.18
64,1406,1,1232.1,1232.1
65,1507,1,3248.33,3248.33
66,1309,1,4001.42,4001.42
66,1306,1,962.64,962.64
67,1105,1,4036.63,4036.63
67,1107,1,2977.86,2977.86
67,1101,1,3716.09,3716.09
68,1501,1,3835.32,3835.32
69,1904,1,3971.86,3971.86
69,1907,1,3229.82,3229.82
70,906,1,2011.01,2011.01
71,110,1,1227.79,1227.79
71,107,1,1206.94,1206.94
71,101,1,2032.62,2032.62
72,104,1,3698.16,3698.16
72,108,1,4860.8,4860.8
72,102,1,2803.33,2803.33
73,1909,1,773.53,773.53
73,1905,1,1960.29,1960.29
74,1108,1,4021.08,4021.08
75,1207,1,3902.84,3902.84
75,1210,1,3383.16,3383.16
75,1204,1,3687.04,3687.04
76,1309,1,4001.42,4001.42
76,1310,1,3335.35,3335.35
77,1505,1,4545.86,4545.86
77,1507,1,3248.33,3248.33
78,1402,1,2426.96,2426.96
78,1401,1,3425.8,3425.8
78,1403,1,4215.06,4215.06
79,805,1,2540.63,2540.63
80,1701,1,1416.67,1416.67
80,1706,1,4957.18,4957.18
81,1402,1,2426.96,2426.96
81,1401,1,3425.8,3425.8
82,807,1,3018.18,3018.18
82,808,1,4346.71,4346.71
82,805,1,2540.63,2540.63
83,2004,1,1537.11,1537.11
83,2001,1,2948.54,2948.54
84,1706,1,4957.18,4957.18
84,1702,1,2615.56,2615.56
85,503,1,4197.81,4197.81
85,506,1,1320.62,1320.62
85,502,1,5078.85,5078.85
86,404,1,1430.34,1430.34
87,1404,1,4216.62,4216.62
88,909,1,1364.03,1364.03
89,1003,1,2996.95,2996.95
89,1004,1,3790.9,3790.9
90,201,1,4394.81,4394.81
91,1208,1,1352.46,1352.46
91,1202,1,3345.06,3345.06
91,1210,1,3383.16,3383.16
92,305,1,2879.27,2879.27
92,302,1,4094.34,4094.34
93,604,1,4326.67,4326.67
93,610,1,2711.29,2711.29
94,2001,1,2948.54,2948.54
94,2008,1,4840.87,4840.87
95,910,1,1234.63,1234.63
96,306,1,4809.36,4809.36
97,804,1,1695.63,1695.63
98,708,1,1070.28,1070.28
98,710,1,3321.37,3321.37
99,402,1,4440.97,4440.97
99,406,1,4084.06,4084.06
100,708,1,1070.28,1070.28
101,1808,1,4007.55,4007.55
102,1601,1,4454.8,4454.8
102,1610,1,1868.93,1868.93
102,1604,1,1647.86,1647.86
103,704,1,4554.36,4554.36
103,705,1,2538.98,2538.98
104,1208,1,1352.46,1352.46
104,1205,1,2930.25,2930.25
