id,pedidoId,repartidorId,fecha_asignacion,fecha_entrega,estado,distancia_km
1,1,33,2024-12-26 09:55:18.000000,2024-12-26 10:54:18,completado,6.56
2,2,25,2025-01-13 17:33:46.000000,2025-01-13 18:30:46,completado,4.07
5,5,4,2025-01-09 05:07:23.000000,2025-01-09 05:50:23,completado,3.59
6,6,8,2024-12-22 22:17:35.000000,2024-12-22 23:10:35,completado,1.54
7,7,21,2025-01-03 00:52:18.000000,2025-01-03 01:53:18,completado,2.69
8,8,36,2025-01-11 21:05:28.000000,2025-01-11 22:11:28,completado,9.55
9,9,45,2025-01-14 03:42:02.000000,2025-01-14 04:31:02,completado,3.57
10,10,34,2024-12-21 17:45:06.000000,2024-12-21 18:40:06,completado,5.27
11,11,20,2025-01-15 14:47:49.000000,2025-01-15 15:48:49,completado,5.84
13,13,30,2024-12-30 11:13:26.000000,2024-12-30 11:38:26,completado,5.24
14,14,1,2025-01-18 03:31:16.000000,2025-01-18 04:25:16,completado,5.05
15,15,9,2025-01-02 08:25:04.000000,2025-01-02 09:34:04,completado,7.73
16,16,45,2024-12-30 17:39:14.000000,2024-12-30 18:16:14,completado,2.44
17,17,48,2025-01-08 21:32:13.000000,2025-01-08 22:21:13,completado,6.75
18,18,40,2024-12-30 17:42:24.000000,2024-12-30 18:12:24,completado,3.77
20,20,26,2025-01-10 15:42:41.000000,2025-01-10 16:10:41,completado,2.79
21,21,34,2024-12-25 06:01:13.000000,2024-12-25 06:44:13,completado,8.28
22,22,40,2025-01-02 03:52:39.000000,2025-01-02 04:06:39,completado,3.88
23,23,31,2025-01-18 21:21:47.000000,2025-01-18 22:10:47,completado,5.05
26,26,17,2024-12-28 14:42:25.000000,2024-12-28 15:25:25,completado,5.64
29,29,26,2024-12-27 23:35:29.000000,2024-12-28 00:07:29,completado,4.27
33,33,36,2024-12-24 12:08:38.000000,2024-12-24 12:39:38,completado,7.75
34,34,38,2024-12-24 20:30:25.000000,2024-12-24 20:55:25,completado,3.9
36,36,23,2024-12-21 10:04:11.000000,2024-12-21 11:24:11,completado,2.83
37,37,39,2025-01-14 07:59:07.000000,2025-01-14 08:38:07,completado,4.64
38,38,38,2024-12-23 11:02:39.000000,2024-12-23 11:48:39,completado,4.58
39,39,29,2024-12-21 04:32:20.000000,2024-12-21 05:30:20,completado,8.61
41,41,33,2024-12-27 06:01:39.000000,2024-12-27 06:49:39,completado,4.86
45,45,18,2024-12-31 01:37:13.000000,2024-12-31 02:09:13,completado,2.94
47,47,10,2025-01-02 09:10:57.000000,2025-01-02 10:04:57,completado,8.65
