tenant_id,nombre,razon_social,cuenta_bancaria,direccion,lon,lat,categoria_principal,configuracion_operativa,estado,fecha_registro,fecha_actualizacion
1,La Nonna,La Nonna S.A.,ES8930142046507958722671,"C. de Angelino Quintana 5, Buenos Aires, Argentina",-58.498933,-34.676319,Comida Italiana,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2025-05-07 02:54:04,2025-05-15 12:11:06
2,Burrito Express,Burrito Express S.A.,ES4784958103900760731951,"Glorieta de Morena Acevedo 67 Apt. 28 , Buenos Aires, Argentina",-58.312964,-34.666332,Comida Mexicana,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2024-06-28 06:12:37,2025-01-07 10:58:27
3,Don Julio,Don Julio S.A.,ES9721956313656218420445,"Cañada Manu Galván 17 Puerta 7 , Buenos Aires, Argentina",-58.429647,-34.604611,Comida Argentina,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2025-05-08 20:58:52,2025-05-17 12:03:15
4,Bombay Spice,Bombay Spice S.A.,ES3894432201684171350805,"Calle de Micaela Catalá 27, Buenos Aires, Argentina",-58.339371,-34.512662,Comida India,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2024-09-21 06:08:12,2025-04-02 18:31:39
5,Sanguchero,Sanguchero S.A.,ES7226472014879204004164,"Urbanización de Viviana Castro 232, Buenos Aires, Argentina",-58.399167,-34.56007,Comida Callejera,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2024-07-22 12:30:47,2025-02-07 03:05:13
6,McRápido,McRápido S.A.,ES7326486680018536207418,"Avenida de Jordán Godoy 153 Apt. 33 , Buenos Aires, Argentina",-58.394421,-34.574025,Comida Rápida,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2025-03-27 22:59:46,2025-05-15 04:56:13
7,Verde Que Te Quiero Verde,Verde Que Te Quiero Verde S.A.,ES6506850350184977735693,"Paseo de Leopoldo Real 39, Buenos Aires, Argentina",-58.403755,-34.530746,Comida Saludable,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2024-05-21 23:31:51,2025-04-29 21:26:24
8,Sakura Sushi,Sakura Sushi S.A.,ES6801343739666947237222,"Plaza de Telmo Pomares 49 Puerta 3 , Buenos Aires, Argentina",-58.422195,-34.652926,Comida Japonesa,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2025-04-08 04:17:04,2025-04-23 10:45:00
9,La Nonna,La Nonna S.A.,ES0688875030821381080330,"Cañada de Andrés Felipe Alberto 709, Buenos Aires, Argentina",-58.478189,-34.62328,Comida Italiana,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2025-01-09 22:52:10,2025-02-23 09:56:31
10,Fiesta Mexicana,Fiesta Mexicana S.A.,ES7532422930594152900768,"Pasaje de Rosalía Cuéllar 17, Buenos Aires, Argentina",-58.425685,-34.51653,Comida Mexicana,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2025-01-26 20:03:10,2025-05-02 18:51:49
11,El Asador,El Asador S.A.,ES1110377258072056315763,"Paseo Dulce Escribano 20, Buenos Aires, Argentina",-58.463279,-34.658483,Comida Argentina,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2024-06-15 12:57:25,2024-06-21 02:16:35
12,Bombay Spice,Bombay Spice S.A.,ES3577173348309660703387,"Plaza de Martina Camps 16 Piso 2 , Buenos Aires, Argentina",-58.346145,-34.600194,Comida India,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2024-11-02 06:56:20,2025-01-18 02:44:02
13,Pancho's,Pancho's S.A.,ES6082875590408001607075,"Pasadizo Amor Contreras 743 Piso 5 , Buenos Aires, Argentina",-58.333026,-34.62046,Comida Callejera,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2024-05-25 14:46:09,2024-09-04 23:07:19
14,King Burger,King Burger S.A.,ES1845263211313384517322,"Vial Concepción Parejo 10, Buenos Aires, Argentina",-58.45885,-34.574177,Comida Rápida,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2024-06-17 15:13:50,2025-04-17 22:13:34
15,Saludable Express,Saludable Express S.A.,ES4293738994967410938599,"Cañada Viviana Pellicer 63, Buenos Aires, Argentina",-58.426856,-34.653591,Comida Saludable,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2025-04-22 18:35:33,2025-05-10 20:29:51
16,Nippon,Nippon S.A.,ES3235338034705325726749,"Plaza de Natividad Carretero 6, Buenos Aires, Argentina",-58.437707,-34.517724,Comida Japonesa,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2024-11-15 01:52:31,2025-04-30 18:25:00
17,La Nonna,La Nonna S.A.,ES0217159903912850576835,"Acceso de Adoración Antón 78, Buenos Aires, Argentina",-58.441442,-34.628723,Comida Italiana,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2024-11-23 01:35:13,2025-03-27 21:15:10
18,Taco Loco,Taco Loco S.A.,ES0975466589596176791136,"Pasadizo Che Palmer 74, Buenos Aires, Argentina",-58.413797,-34.642574,Comida Mexicana,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2024-12-23 01:12:44,2025-02-18 21:34:39
19,Don Julio,Don Julio S.A.,ES9739973212275720604403,"Avenida de Amarilis Ariño 413 Apt. 83 , Buenos Aires, Argentina",-58.499266,-34.670573,Comida Argentina,"{""hora_apertura"": ""10:00"", ""hora_cierre"": ""23:00""}",activo,2024-10-08 13:07:50,2025-04-09 19:23:47
